price,maximum_nights,availability_30,availability_365,number_of_reviews,instant_bookable,reviews_per_month,has_private_entrance,has_self_checkin,has_kitchen,has_bathtub,has_host_greeting,has_dishwasher,has_longterm,has_fireplace,has_parking,combine_beds_bedrooms_acommodates,general_score,nightly_price,host_active_years,review_count,room_type_1,room_type_2,room_type_3,minimum_nights_2.0,minimum_nights_3.0,minimum_nights_4.0,minimum_nights_5.0,minimum_nights_6.0,minimum_nights_7.0,minimum_nights_8.0,minimum_nights_8.5,property_type_category_Entire condo,property_type_category_Entire home,property_type_category_Entire rental unit,property_type_category_Other,property_type_category_Private Rooms,property_type_category_Room in,property_type_category_Shared Rooms,bathroom_count_1.0,bathroom_count_1.5,bathroom_count_2.0,bathroom_count_2.25,price_range_Low,price_range_Medium,price_range_High,price_range_Very High,location_cluster_1,location_cluster_2,location_cluster_3,location_cluster_4,location_cluster_5,location_cluster_6,location_cluster_7,location_cluster_8,location_cluster_9
200.0,-0.7945360687925477,-0.7907929324288148,-0.9972004522772253,-0.10266624684147761,0,-0.7575140589737968,0,0,1,0,1,1,0,0,0,-0.6514794244352089,-0.5558672100517094,100.0,1.6264318248223422,-0.25675341574485533,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
181.0,-0.7391411674024632,-0.371684047209559,-0.9161726712883479,2.1710392673004435,1,0.1567166473437661,0,1,0,1,0,0,0,0,0,-0.6514794244352089,0.17385091362633368,181.0,1.6264318248223422,1.8206460349692803,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
85.0,-0.7899198270100407,-0.09227812373005514,1.3976206302829286,2.1710392673004435,0,0.7309441984192604,0,0,0,0,0,0,0,0,0,-0.30950573551025845,-1.7767417631284472,42.5,1.9441943417782819,1.9512892772152668,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
350.0,1.788251208520147,-0.7907929324288148,-0.26795042337732883,1.0646768140589724,0,-0.40995527805968196,1,1,1,1,1,1,0,0,0,1.4003627091144941,-0.1980246686326652,175.0,1.6264318248223422,0.782089558781342,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
300.0,-0.7760711016625196,-0.7907929324288148,0.15519465512014197,-0.5208189850744747,0,-0.8632928183824403,0,0,1,0,0,0,0,0,1,1.7423363980394446,-1.755692201868509,100.0,1.6264318248223422,-0.6246172820690796,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
445.0,-0.6698975406648574,2.2826722258457273,0.7133860352657417,-0.17235836988031045,0,-0.7650696846458428,0,0,1,0,1,1,1,0,0,0.37444164233964256,-0.8084619451710373,52.35294117647059,1.6264318248223422,-0.31577207342615604,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
97.0,-0.773762980771266,-0.7907929324288148,-0.7631201960871351,2.1710392673004435,0,1.108725482021559,0,0,1,0,0,1,0,0,0,-0.6514794244352089,-1.3697835787695367,97.0,1.6264318248223422,2.037238778692889,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
260.0,1.788251208520147,-0.09227812373005514,0.06516378735472264,2.1710392673004435,1,0.8291673321558579,1,1,0,0,0,0,1,0,0,0.7164153312645931,0.46854477126554434,130.0,1.6264318248223422,1.9736361475994486,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
163.0,-0.7368330465112096,-0.371684047209559,-1.0152066258303092,2.1710392673004435,1,2.4611824773177884,1,0,0,0,1,0,1,0,0,-0.6514794244352089,0.7351725472248332,54.333333333333336,1.6264318248223422,2.3449379939827777,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
115.0,-0.6929787495773926,-0.7907929324288148,-1.1052374935957285,2.1710392673004435,0,-0.10017462550579692,0,0,0,1,1,0,1,0,0,0.032467953414692066,0.11771875026648372,38.333333333333336,1.3086693078664022,1.762200373964497,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
299.0,-0.7414492882937167,2.7017811110649834,-0.3399751175896643,-0.4337038312759336,0,-0.8330703156942565,0,1,1,0,0,0,0,0,0,-0.6514794244352089,0.42644564874566154,99.66666666666667,1.6264318248223422,-0.5461167373861844,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
779.0,-0.3929230337144344,-0.7907929324288148,1.3976206302829286,2.1710392673004435,1,0.21716165272013396,1,0,0,1,1,1,0,0,0,1.0583890201895436,0.5878256184052341,389.5,1.3086693078664022,1.8343979552057001,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
132.0,0.03407933116746778,-0.5113870089493109,0.056160700578180706,2.1710392673004435,0,1.4487286372636277,1,0,1,1,1,0,1,0,0,-0.9934531133601594,0.2861152403460336,66.0,1.3086693078664022,2.1145933300227497,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
440.0,-0.7760711016625196,-0.7907929324288148,-1.024209712606851,-0.39885776975651716,0,-0.8255146900222107,1,0,1,1,1,1,0,0,0,1.7423363980394446,0.7351725472248332,146.66666666666666,1.3086693078664022,-0.5157479135307578,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
186.0,-0.7622223763149983,-0.371684047209559,1.1275280269866705,2.1710392673004435,0,0.14160539599967414,1,0,1,1,1,0,0,0,1,1.0583890201895436,0.06860310732661735,93.0,1.3086693078664022,1.8172080549101755,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
450.0,-0.7391411674024632,-0.7907929324288148,-0.9701911919475995,-0.6253571696327239,0,-0.8859596953985783,0,0,1,1,1,1,0,1,0,0.37444164233964256,-0.5839332917316375,90.0,1.3086693078664022,-0.7157237536353594,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
450.0,-0.7160599584899279,-0.7907929324288148,-0.34897820436620625,0.0018719377167716507,0,-0.7046246792694749,0,0,1,0,0,1,0,0,0,0.7164153312645931,0.5667760571452833,112.5,1.3086693078664022,-0.15877098406036563,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
783.5,-0.6006539139272516,2.1429692641059757,1.2445681550817156,1.4654065215322611,0,-0.2815096416349004,1,0,1,1,0,1,0,0,0,4.136152220514099,-0.920726271890731,391.75,1.3086693078664022,1.1407854782812863,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
184.0,0.03407933116746778,-0.6510899706890628,0.43429034519294185,2.1710392673004435,1,0.9576129685806395,1,0,0,0,1,0,1,0,0,-0.6514794244352089,0.461528250845567,61.333333333333336,1.3086693078664022,2.00285897810184,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
185.0,0.03407933116746778,-0.5113870089493109,0.2182162625559355,2.1710392673004435,1,1.358061129199076,1,0,0,0,1,0,1,0,0,-0.6514794244352089,0.36329696496582803,61.666666666666664,1.3086693078664022,2.0939654496681204,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
125.0,1.788251208520147,0.04742483800969678,1.595688539366851,2.1710392673004435,0,0.3682741661610534,0,1,0,0,0,0,0,0,0,-0.6514794244352089,-0.057694260233043464,41.666666666666664,1.3086693078664022,1.8687777557967489,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
141.0,1.788251208520147,-0.5113870089493109,1.1275280269866705,2.1710392673004435,0,0.6402766903547086,1,1,1,0,1,0,1,0,0,-0.6514794244352089,-0.022611658133138028,47.0,1.6264318248223422,1.9306613968606374,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
264.0,-0.7391411674024632,-0.7907929324288148,-0.5020306795674191,2.1710392673004435,1,2.4385156003016504,1,1,0,1,0,1,0,0,0,1.7423363980394446,0.5527430163053224,88.0,1.3086693078664022,2.33978102389412,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
275.0,-0.7760711016625196,-0.7907929324288148,-0.9341788448414318,-0.2420504929191433,0,-0.7575140589737968,1,0,1,1,1,1,0,0,0,2.597270620351821,0.10368570942652279,91.66666666666667,1.3086693078664022,-0.37135275104835197,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
128.0,-0.7391411674024632,-0.09227812373005514,0.4793057790756515,2.1710392673004435,1,1.7962874181777426,0,1,0,0,0,0,1,0,0,-0.6514794244352089,0.39837956706573346,25.6,1.3086693078664022,2.193666871382162,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
245.0,1.788251208520147,-0.7907929324288148,-0.9701911919475995,1.5699447060905103,0,-0.25128713894671645,1,0,1,1,0,1,1,1,0,1.9133232425019198,0.503627373365456,81.66666666666667,1.3086693078664022,1.233610939877119,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
228.0,1.788251208520147,-0.23198108546980706,-0.5290399398970449,1.0995228755783888,0,-0.38728840104354406,0,0,1,0,1,0,0,0,0,-0.6514794244352089,-1.5943122322089365,114.0,1.3086693078664022,0.8158963626958735,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
173.0,-0.6698975406648574,0.32683076148920065,0.36226565098060637,2.1710392673004435,0,1.7131755357852367,1,1,1,0,0,0,1,0,0,-0.6514794244352089,0.22296655656620004,57.666666666666664,1.3086693078664022,2.174757981057085,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
529.0,-0.7391411674024632,2.4223751875854793,0.4522965187460257,-0.4337038312759336,0,-0.7952921873340267,0,0,1,0,0,1,1,0,0,-0.6514794244352089,0.9807507619241774,105.8,1.3086693078664022,-0.5375217872384221,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
188.0,0.022538726711200156,0.04742483800969678,-0.09689177462303213,0.8730234757021821,1,-0.44773340641991183,1,1,1,0,0,0,0,0,0,-0.6514794244352089,-0.6260324142515266,62.666666666666664,1.3086693078664022,0.6159205225912718,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
150.0,-0.7391411674024632,-0.6510899706890628,-0.8711572374056382,-0.6079341388730157,0,-0.8708484440544864,1,0,1,0,1,1,1,0,0,-0.6514794244352089,-0.33133855661231587,37.5,1.3086693078664022,-0.6979608566633174,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
145.0,-0.7391411674024632,-0.5113870089493109,0.27223478321518707,0.6987931681051001,0,-0.5006227861242337,0,0,1,1,0,1,0,0,0,-0.30950573551025845,0.13175179110644467,72.5,1.3086693078664022,0.46063842325503385,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
200.0,-0.6698975406648574,-0.5113870089493109,-0.8081356299698448,1.5176756138113858,0,-0.25884276461876243,1,0,1,1,1,1,1,0,0,0.7164153312645931,-0.4997350466918657,66.66666666666667,1.3086693078664022,1.1889171991087553,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
175.0,-0.7391411674024632,-0.7907929324288148,-1.0602220597130187,-0.050397154562352976,0,-0.7197359306135669,1,0,1,1,0,1,1,0,1,1.4003627091144941,-0.7663628226511483,43.75,1.3086693078664022,-0.2051837148582818,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
80.0,-0.7391411674024632,-0.5113870089493109,-0.39399363824891587,2.1710392673004435,1,1.902066177586386,1,0,0,0,1,0,1,0,0,0.7164153312645931,-0.31028899535237137,26.666666666666668,1.3086693078664022,2.2177327317958966,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
330.0,1.788251208520147,-0.7907929324288148,0.5513304732879869,2.1710392673004435,0,0.39849666884923735,1,0,1,0,0,1,0,0,0,1.0583890201895436,0.20191699530625554,110.0,1.3086693078664022,1.8756537159149589,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
600.0,-0.7391411674024632,-0.6510899706890628,-0.9881973655006834,-0.46854989279535003,0,-0.8330703156942565,1,1,1,1,0,1,0,0,0,1.4003627091144941,0.6860569042849668,120.0,1.3086693078664022,-0.5747665712120585,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
475.0,-0.7391411674024632,-0.23198108546980706,0.6413613410534063,0.2980634606318112,0,-0.6064015455328773,1,0,1,1,1,1,0,0,0,1.7423363980394446,0.3282143628659226,158.33333333333334,1.3086693078664022,0.10709947384374656,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
500.0,-0.7991523105750548,-0.23198108546980706,-1.0602220597130187,0.3154864913915194,0,-0.6064015455328773,0,0,1,1,1,1,0,0,0,1.0583890201895436,-0.19100814821268788,250.0,1.3086693078664022,0.12142439075668364,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
